15	7	U	-1.1118470286267973E7	93
emissionprobs	5	4	H3K4me3	0	0.008947165820832624
emissionprobs	5	4	H3K4me3	1	0.9910528341791675
emissionprobs	5	5	H3K9me3	0	0.9966410112496985
emissionprobs	5	5	H3K9me3	1	0.003358988750301456
emissionprobs	5	6	H4K20me3	0	0.9951644015256588
emissionprobs	5	6	H4K20me3	1	0.004835598474341229
emissionprobs	6	0	H3K27ac	0	0.25011657990729325
emissionprobs	6	0	H3K27ac	1	0.7498834200927068
emissionprobs	6	1	H3K27me3	0	0.9999841103544579
emissionprobs	6	1	H3K27me3	1	1.5889645542124858E-5
emissionprobs	6	2	H3K36me3	0	0.9699977341792191
emissionprobs	6	2	H3K36me3	1	0.030002265820780877
emissionprobs	6	3	H3K4me1	0	0.02098714053391715
emissionprobs	6	3	H3K4me1	1	0.9790128594660829
emissionprobs	6	4	H3K4me3	0	0.9745635521264254
emissionprobs	6	4	H3K4me3	1	0.025436447873574658
emissionprobs	6	5	H3K9me3	0	0.9913558988546791
emissionprobs	6	5	H3K9me3	1	0.008644101145320864
emissionprobs	6	6	H4K20me3	0	0.9909856518352308
emissionprobs	6	6	H4K20me3	1	0.009014348164769122
emissionprobs	7	0	H3K27ac	0	0.8585730231469746
emissionprobs	7	0	H3K27ac	1	0.14142697685302538
emissionprobs	7	1	H3K27me3	0	0.9994560135614579
emissionprobs	7	1	H3K27me3	1	5.439864385421149E-4
emissionprobs	7	2	H3K36me3	0	0.13638021716977788
emissionprobs	7	2	H3K36me3	1	0.8636197828302221
emissionprobs	7	3	H3K4me1	0	0.0720720217346121
emissionprobs	7	3	H3K4me1	1	0.9279279782653879
emissionprobs	7	4	H3K4me3	0	0.9490191997708647
emissionprobs	7	4	H3K4me3	1	0.05098080022913529
emissionprobs	7	5	H3K9me3	0	0.9959982333557633
emissionprobs	7	5	H3K9me3	1	0.00400176664423671
emissionprobs	7	6	H4K20me3	0	0.9995444206159356
emissionprobs	7	6	H4K20me3	1	4.555793840643725E-4
emissionprobs	8	0	H3K27ac	0	0.9938094945191431
emissionprobs	8	0	H3K27ac	1	0.006190505480856854
emissionprobs	8	1	H3K27me3	0	0.9962865788366246
emissionprobs	8	1	H3K27me3	1	0.003713421163375402
emissionprobs	8	2	H3K36me3	0	0.9914095891581524
