sample	sampleName	total	chrx	chr16	fold	rpm	rpm.chrx	rpm.chr16	rpm.spikein	asyn.spikein	sf	meansf.25	ID	cells	time	group	batch	batch1
dmso_180_aid06_2425078	dmso_180_aid06_2425078.counts	356362523	1421605	171940	8.268029545	0.002806131	3989.210167	482.4862013	881.407218	713.0880132	1.236042679	1.16922636875	2425078	aid06	180	DMSO	aid2	aid2
dmso_180_aid06_2425094	dmso_180_aid06_2425094.counts	430724741	1363546	157578	8.653149551	0.002321668	3165.701596	365.8438557	682.4140153	713.0880132	0.956984275	1.16922636875	2425094	aid06	180	DMSO	aid2	aid2
dmso_180_aid23_2425086	dmso_180_aid23_2425086.counts	355223683	1213218	164181	7.38951523	0.002815128	3415.363496	462.1904672	803.7268168	713.0880132	1.127107456	1.16922636875	2425086	aid23	180	DMSO	aid2	aid2
dmso_180_aid23_2425102	dmso_180_aid23_2425102.counts	409533182	1490192	247203	6.028211632	0.002441805	3638.757653	603.6214179	967.4971832	713.0880132	1.356771065	1.16922636875	2425102	aid23	180	DMSO	aid2	aid2
IAA_180_aid06_2425082	IAA_180_aid06_2425082.counts	344167237	1516093	154532	9.810867652	0.002905564	4405.105533	449.0026458	889.5131991	713.0880132	1.247410113	1.3513846665	2425082	aid06	180	IAA	aid2	aid2
IAA_180_aid06_2425098	IAA_180_aid06_2425098.counts	343124077	1878799	196666	9.553247638	0.002914398	5475.56737	573.1629261	1120.719663	713.0880132	1.57164283	1.3513846665	2425098	aid06	180	IAA	aid2	aid2
IAA_180_aid23_2425090	IAA_180_aid23_2425090.counts	437168612	1494854	231450	6.458647656	0.002287447	3419.399195	529.4295923	871.3695118	713.0880132	1.221966287	1.3513846665	2425090	aid23	180	IAA	aid2	aid2
IAA_180_aid23_2425106	IAA_180_aid23_2425106.counts	347731441	1291615	209189	6.174392535	0.002875783	3714.403841	601.5820698	973.0224538	713.0880132	1.364519436	1.3513846665	2425106	aid23	180	IAA	aid2	aid2
dmso_240_aid06_2425079	dmso_240_aid06_2425079.counts	381332250	1569571	185763	8.449319832	0.002622385	4116.01956	487.1421182	898.7440742	713.0880132	1.260355044	1.19448372625	2425079	aid06	240	DMSO	aid2	aid2
dmso_240_aid06_2425095	dmso_240_aid06_2425095.counts	378864461	1731223	211121	8.200145888	0.002639466	4569.504871	557.2467775	1014.197265	713.0880132	1.422260991	1.19448372625	2425095	aid06	240	DMSO	aid2	aid2
dmso_240_aid23_2425087	dmso_240_aid23_2425087.counts	341361625	982677	140606	6.988869607	0.002929445	2878.69792	411.8975002	699.7672922	713.0880132	0.981319668	1.19448372625	2425087	aid23	240	DMSO	aid2	aid2
dmso_240_aid23_2425103	dmso_240_aid23_2425103.counts	342157379	832748	188528	4.417105151	0.002922632	2433.815697	550.9979079	794.3794776	713.0880132	1.113999202	1.19448372625	2425103	aid23	240	DMSO	aid2	aid2
IAA_240_aid06_2425083	IAA_240_aid06_2425083.counts	309465680	884274	85455	10.34783219	0.003231376	2857.421863	276.137244	561.8794304	713.0880132	0.787952427	1.19287640225	2425083	aid06	240	IAA	aid2	aid2
